year	occ	inc1	inc2	inc3	inc4	inc5	inc6	inc7	inc8	inc9	inc10	inc11	inc12	inc13	inc14	inc15	inc16	inc17	inc18	inc19	inc20	inc21	inc22	inc23	inc24	inc25	inc26	inc27	inc28	inc29	inc30	inc31	inc32	inc33	inc34	inc35	inc36	inc37	inc38	inc39	inc40	inc41	inc42	inc43	inc44	inc45	inc46	inc47	inc48	inc49	inc50	inc51	inc52	inc53	inc54	inc55	inc56	inc57	inc58	inc59	inc60	inc61	inc62	inc63	inc64	inc65	inc66	inc67	inc68	inc69	inc70	inc71	inc72	inc73	inc74	inc75	inc76	inc77	inc78	inc79	inc80	inc81	inc82	inc83	inc84	inc85	inc86	inc87	inc88	inc89	inc90	inc91	inc92	inc93	inc94	inc95	inc96	inc97	inc98	inc99	inc100	inc101
1960	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	3	0	1	3	1	3	2	2	0	1	1	2	4	2	0	1	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	2	0	2	0	1	1	0	2	2	2	2	1	2	2	2	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	2	1	0	0	1	1	0	6	3	5	3	1	2	3	2	2	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	1	0	1	2	1	2	1	2	1	1	1	2	3	2	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	1	2	4	1	2	1	3	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	1	1	2	1	3	1	0	0	1	3	1	2	0	1	2	0	1	0	0	1	0	1	2	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	2	0	3	0	2	4	0	3	1	1	2	1	2	0	2	1	2	3	3	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	2	0	3	4	2	3	1	2	0	1	2	1	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	5	2	2	2	2	3	0	1	1	2	4	2	2	2	1	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	1	1	1	1	1	4	2	1	3	3	3	2	1	0	2	2	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
